1941-09-01	Да	ЮЗФ	38 армия	97, 116, 196, 212, 297, 300, 304 сд, сводный осп Полтавского тракторного училища, 5 кк (3, 14, 34 кд), 37 кд	441, 445 кап, 555 пап РВГК, 558 ап ПТО, 6 озад	89, 94 отб, 21 мцп		56 оиб, 45 миб, 28 пмб, 277 осб
1941-09-01	Да	ЮЗФ	40 армия	135, 293 сд, 2 вдк (2, 3, 4 вдбр), 295 сд (1042 сп)	5 арт. бригада ПТО, 21 кап, 595, 738, 760 ап ПТО, 205 озад	10 тд, 53, 55, 65 отб		286 осб
1941-09-01	Да	ЮЗФ		81, 99 сд, 3 вдк (5, 6, 212 вдбр), 3, 4, 6, 13, 15, 17 УР,  отд. огнеметный батальон литер «А» ,отд. огнеметный батальон литер «Б»	233 кап, 376, 506 гап РВГК, 197, 754, 756 ап ПТО, 85 оад ПТО; 3, 4 дивизии ПВО, Остерский, Каневский, Киевский бригадный район ПВО, 20, 25, 29, 75, 307, 386 озад	129 тбр	36 иад ПВО, 19, 62 бад, 15, 16, 17, 63 сад, 316 рап	12, 14 оиб, 1, 2, 66, 86 миб, 5, 10, 12, 13, 15, 25, 30, 31, 32 пмб, 187 осб
1941-09-01	Да	ЮФ	6 армия	169, 226, 230, 255, 273, 275 сд, 26, 28 кд, 15 сд НКВД (47 сп)	269, 274, 394 кап, 522 гап б/м РВГК, 671 ап РВГК, 14, 27 озад	8 тд	44 иад, 131 иап	268 осб
1941-09-01	Да	ЮФ	9 армия	51, 74, 150, 176, 296 сд, 30 гсд	266, 648 кап, 268 озад		20 сад	8, 16 оиб, 127 миб, 7, 35, 37 пмб
1941-09-01	Да	ЮФ	12 армия	270, 274 сд	268, 374 кап	11 тд	64 иад, 181 иап	50, 524 осб
1941-09-01	Да	ЮФ	18 армия	130, 164 сд, 96 гсд, 30 кд	437 кап, 30, 85 озад		45 сад	19, 21, 22 пмб, 68 оиб
1941-09-01	Да	ЮФ		15, 253, 261 сд, 2 кк (5, 9 кд), 83 УР, отд. огнеметный батальон;	4 арт. бригада ПТО; Резервная бригада ПВО, Кишиневский, Запорожский, Первомайский бригадный район ПВО, 175, 504, 505, 508 озад	218 мд, 132 тбр, 30, 320 отп, 26 мцп, 50, 58, 62, 67, 69, 92 отб	66 иад, 22, 50 бад, 21 сад, 1 школьная бад, 210 бап	49 миб, 11, 16 пмб
1941-09-01	Да	ЮФ	 Дунайская военная флотилия
1941-09-01	Да	Отдельные армии	51 армия	9 ск (106, 156 сд), 271, 276 сд, 1, 2, 3, 4 крымская сд НО, кав. группа (40, 42, 48 кд)		Отд. мототанкетный полк	182 иап, 21 бап
1941-09-01	Да	Отдельные армии	Приморская армия	25, 95, 421 сд, 2 кд, 82 УР	265 кап, 26 озад; 15 бригада ПВО			44, 47 миб, 377 оиб
1941-09-01	Да	Отдельные армии	52 армия	267, 285, 288, 292, 312, 314, 316 сд	442 кап, 884 ап ПТО
1941-09-01	Да	ДБА					40, 42, 51, 52, 81 бад,
1941-09-01	РС ВГК			44 ск, 21, 26, 286, 294, 313 сд, 5 вдк (9, 10, 201 вдбр)	324 гап б/м РВГК, 764 ап ПТО, 15 оминб			3, 4 миб
