014	1942-02-01	ДА	ВолФ	2 ударная армия	45 олыжб
014	1942-02-01	ДА	ВолФ	2 ударная армия	46 олыжб
014	1942-02-01	ДА	ВолФ	2 ударная армия	48 олыжб
014	1942-02-01	ДА	ВолФ	2 ударная армия	49 олыжб
014	1942-02-01	ДА	ВолФ	2 ударная армия	50 олыжб
014	1942-02-01	ДА	ВолФ	2 ударная армия	160 олыжб
014	1942-02-01	ДА	ВолФ	2 ударная армия	161 олыжб
014	1942-02-01	ДА	ВолФ	2 ударная армия	162 олыжб
014	1942-02-01	ДА	ВолФ	2 ударная армия	163 олыжб
014	1942-02-01	ДА	ВолФ	2 ударная армия	164 олыжб
014	1942-02-01	ДА	ВолФ	2 ударная армия	165 олыжб
014	1942-02-01	ДА	ВолФ	2 ударная армия	166 олыжб
014	1942-02-01	ДА	ВолФ	2 ударная армия	167 олыжб
014	1942-02-01	ДА	ВолФ	2 ударная армия	168 олыжб
014	1942-02-01	ДА	ВолФ	2 ударная армия	169 олыжб
014	1942-02-01	ДА	ВолФ	2 ударная армия	170 олыжб
014	1942-02-01	ДА	ВолФ	2 ударная армия	171 олыжб
014	1942-02-01	ДА	ВолФ	2 ударная армия	839 гап
014	1942-02-01	ДА	ВолФ	2 ударная армия	884 ап ПТО
014	1942-02-01	ДА	ВолФ	2 ударная армия	44 огв. мдн
014	1942-02-01	ДА	ВолФ	2 ударная армия	108 огв. мдн
014	1942-02-01	ДА	ВолФ	2 ударная армия	203 огв. мдн
014	1942-02-01	ДА	ВолФ	2 ударная армия	160 отб
014	1942-02-01	ДА	ВолФ	2 ударная армия	162 отб
014	1942-02-01	ДА	ВолФ	2 ударная армия	156 иап
014	1942-02-01	ДА	ВолФ	2 ударная армия	522 иап
014	1942-02-01	ДА	ВолФ	2 ударная армия	657 лбап
014	1942-02-01	ДА	ВолФ	2 ударная армия	658 лбап
014	1942-02-01	ДА	ВолФ	2 ударная армия	697 лбап
014	1942-02-01	ДА	ВолФ	2 ударная армия	704 лбап
014	1942-02-01	ДА	ВолФ	2 ударная армия	1234 осб
014	1942-02-01	ДА	ВолФ	2 ударная армия	1708 осб
014	1942-02-01	ДА	ВолФ	2 ударная армия	1741 осб
014	1942-02-01	ДА	ВолФ	2 ударная армия	1746 осб
015	1942-02-01	ДА	ВолФ	4 армия
015	1942-02-01	ДА	ВолФ	4 армия	8 гв. ап
015	1942-02-01	ДА	ВолФ	4 армия	3 д
015	1942-02-01	ДА	ВолФ	4 армия	9 огв. мдн
015	1942-02-01	ДА	ВолФ	4 армия	46 тбр
015	1942-02-01	ДА	ВолФ	4 армия	3 рез. авиагруппа 
015	1942-02-01	ДА	ВолФ	4 армия	185 иап
015	1942-02-01	ДА	ВолФ	4 армия	239 иап
015	1942-02-01	ДА	ВолФ	4 армия	689 лбап
015	1942-02-01	ДА	ВолФ	4 армия	248 осб
016	1942-02-01	ДА	ВолФ	52 армия
016	1942-02-01	ДА	ВолФ	52 армия	46 сд
016	1942-02-01	ДА	ВолФ	52 армия	225 сд
016	1942-02-01	ДА	ВолФ	52 армия	259 сд
016	1942-02-01	ДА	ВолФ	52 армия	267 сд
016	1942-02-01	ДА	ВолФ	52 армия	305 сд
016	1942-02-01	ДА	ВолФ	52 армия	448 пап
016	1942-02-01	ДА	ВолФ	52 армия	561 ап
